titulo,letra
Te Vivo,"Quando me sinto só Te faço mais presente Eu fecho os meus olhos E enxergo a gente Em questão de segundos Voo pra outro mundo, outra constelação Não dá para explicar ao ver você chegando Qual a sensação A gente não precisa tá colado pra tá junto Os nossos corpos se conversam por horas e horas Sem palavras, tão dizendo a todo instante um pro outro O quanto se adoram Eu não preciso te olhar pra te ter em meu mundo Porque, aonde quer que eu vá, você está em tudo Tudo, tudo que eu preciso (oh, oh, oh) Te vivo Quando me sinto só Te faço mais presente Eu fecho os meus olhos E enxergo a gente Em questão de segundos Voo pra outro mundo, outra constelação Não dá para explicar ao ver você chegando Qual a sensação (oh, oh, oh) A gente não precisa tá colado pra tá junto Os nossos corpos se conversam por horas e horas Sem palavras, tão dizendo a todo instante um pro outro O quanto se adoram Eu não preciso te olhar pra te ter em meu mundo Porque, aonde quer que eu vá, você está em tudo Tudo, tudo que eu preciso (oh, oh, oh) A gente não precisa tá colado pra tá junto Os nossos corpos se conversam por horas e horas Sem palavras, tão dizendo a todo instante um pro outro O quanto se adoram Eu não preciso te olhar pra te ter em meu mundo Porque, aonde quer que eu vá, você está em tudo Tudo, tudo que eu preciso (oh, oh, oh) Te vivo"
Te Esperando,"Mesmo que você não caia na minha cantada Mesmo que você conheça outro cara Na fila de um banco, um tal de Fernando Um lance, assim, sem graça Mesmo que vocês fiquem sem se gostar Mesmo que vocês casem sem se amar E depois de seis meses, um olhe pro outro E aí? Pois é, sei lá Mesmo que você suporte este casamento Por causa dos filhos, por muito tempo Dez, vinte, trinta anos Até se assustar com os seus cabelos brancos Um dia vai sentar numa cadeira de balanço Vai lembrar do tempo que tinha vinte anos Vai lembrar de mim e se perguntar Por onde esse cara deve estar? E eu vou estar Te esperando, nem que já esteja velhinha gagá Com noventa, viúva, sozinha, não vou me importar Vou ligar, te chamar pra sair, namorar no sofá Nem que seja além dessa vida, eu vou estar Te esperando Mesmo que você não caia na minha cantada Mesmo que você conheça outro cara Na fila de um banco, um tal de Fernando Um lance, assim, sem graça Mesmo que vocês fiquem sem se gostar Mesmo que vocês casem sem se amar E depois de seis meses, um olhe pro outro E aí? Pois é, sei lá Mesmo que você suporte este casamento Por causa dos filhos, por muito tempo Dez, vinte, trinta anos Até se assustar com os seus cabelos brancos Um dia vai sentar numa cadeira de balanço Vai lembrar do tempo que tinha vinte anos Vai lembrar de mim e se perguntar Por onde esse cara deve estar? E eu vou estar Te esperando, nem que já esteja velhinha gagá Com noventa, viúva, sozinha, não vou me importar Vou ligar, te chamar pra sair, namorar no sofá Nem que seja além dessa vida Eu vou estar Te esperando, nem que já esteja velhinha gagá Com noventa, viúva, sozinha, não vou me importar Vou ligar, te chamar pra sair, namorar no sofá Nem que seja além dessa vida, eu vou estar Te esperando Te esperando"
Tanto Faz,"O quarto meio escuro, a janela aberta A porta encostada, a Lua está tão bela E eu tô aqui sentindo falta de você Já vi todos os filmes, li todos os livros E tô esperando a próxima novela Tudo porque eu tô tentando te esquecer E em qualquer lugar que eu vou Onde você está, eu estou, oh O meu pensamento te segue Minha saudade te persegue O meu amor não envelhece Cê não sai da minha mente É que você me causa febre De uns 40 graus ou um pouco mais Eu quero é você, eu amo só você E o resto tanto faz, tanto faz E em qualquer lugar que eu vou Onde você está, eu estou, oh O meu pensamento te segue Minha saudade te persegue O meu amor não envelhece Cê não sai da minha mente É que você me causa febre De uns 40 graus ou um pouco mais Eu quero é você, eu amo só você E o resto, oh O meu pensamento te segue Minha saudade te persegue O meu amor não envelhece Cê não sai da minha mente É que você me causa febre De uns 40 graus ou um pouco mais Eu quero é você, eu amo só você E o resto tanto faz, tanto faz E o resto tanto faz"
MEIO TERMO,"Vida Teu cheiro ainda tá na minha camisa Toda vez que cê vai, uma parte fica Só pra me assombrar Que por mais que eu queira, você não é minha ainda Se eu der bobeira O que não falta é marmanjo na fila Torcendo pra gente não vingar Mas é a mesma coisa do lado de cá Se não levar a gente a sério, alguém vai levar Decide logo, porque água morna serve nem pra chá Se cê não quiser nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Ô, vida Teu cheiro ainda tá na minha camisa Toda vez que cê vai, uma parte fica Só pra me assombrar Que por mais que eu queira, você não é minha ainda Se eu der bobeira O que não falta é marmanjo na fila Torcendo pra gente não vingar Mas é a mesma coisa do lado de cá Se não levar a gente a sério, alguém vai levar Decide logo, porque água morna serve nem pra chá Se cê não quiser nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma"
Escreve Aí,"Te falo tanta coisa enquanto tento segurar a lágrima Que insiste em cair Entro no meu carro, abro o vidro e, antes de ir embora Eu te digo: Olha aqui, ainda vou te esquecer Escreve aí Chego em casa, dou de cara com a sua foto Uma ducha e um vinho pra acalmar E eu penso: Vou partir pra outra logo Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar? É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto É que eu te amo e falo na sua cara Se tirar você de mim não sobra nada O teu sorriso me desmonta inteiro Até um simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar Que eu volto, é só você sorrir Que eu volto, é só fazer assim Que eu volto Eu volto Eu volto Chego em casa, dou de cara com a sua foto Uma ducha e um vinho pra acalmar E eu penso: Vou partir pra outra logo Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar? É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto É que eu te amo e falo na sua cara Se tirar você de mim não sobra nada O teu sorriso me desmonta inteiro Até um simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar Que eu volto, é só você sorrir Que eu volto, é só fazer assim Que eu volto, é só fazer assim Que eu volto Eu volto Eu volto"
DONA,"Tem segunda intenção nesse: Não, não para, não No selinho no fim do beijo que você insiste em me dar Isso é coisa de quem quer amar Cê me conheceu depois que deixei de ser dois e voltei a ser só um Você não tem culpa, isso é um erro comum Eu tava ali pra esquecer alguém Cê tava ali pra encontrar alguém E encontrou, só que tem um porém O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu Ela não me devolveu Cê me conheceu depois que deixei de ser dois e voltei a ser só um Você não tem culpa, isso é um erro comum Eu tava ali pra esquecer alguém Cê tava ali pra encontrar alguém E encontrou, só que tem um porém O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu Ela não me devolveu"
Garotas Não Merecem Chorar,"Ela é uma mulher-menina que precisa urgentemente ser mais forte Ela quer alguém que leia seu sorriso antes de olhar o seu decote Ela vê suas amigas se entregando ao primeiro que aparecer Numa tentativa boba de se preencher Garotas querem mais amor de verdade, mais sinceridade Garotos são todos iguais: Têm necessidade, não passam vontade Mas tô aqui pra provar Eu não te deixaria por uma aventura à toa (oh) E nem te trocaria por qualquer outra pessoa (oh) Só pra matar a vontade, o crime não compensa Garotas inocentes não merecem chorar (oh) Por garotos que não têm a verdade no olhar (oh) Escolhi ser diferente, amor Só pra te amar (Oh, oh) Ela é uma mulher-menina que precisa urgentemente ser mais forte Ela quer alguém que leia seu sorriso antes de olhar o seu decote Ela vê suas amigas se entregando ao primeiro que aparecer Numa tentativa boba de se preencher Garotas querem mais amor de verdade, mais sinceridade Garotos são todos iguais: Têm necessidade, não passam vontade Mas tô aqui pra provar Eu não te deixaria por uma aventura à toa (oh) E nem te trocaria por qualquer outra pessoa (oh) Só pra matar a vontade, o crime não compensa Garotas inocentes não merecem chorar (oh) Por garotos que não têm a verdade no olhar (oh) Escolhi ser diferente, amor Eu não te deixaria por uma aventura à toa (oh) E nem te trocaria por qualquer outra pessoa (oh) O crime não compensa Garotas inocentes não merecem chorar (oh) Por garotos que não têm a verdade no olhar (oh) Escolhi ser diferente, amor Só pra te amar Escolhi ser diferente, amor Só pra te amar"
MULHER SEGURA,"Ela começa, ela termina Ela não transa, ela ensina Se não for pra ser o amor da vida, ela nem vai Ela sabe a diferença O que não rola, o que compensa Ela é tensa, ela é intensa até demais Ela é princesa, ela é tranqueira Ela é segunda, sexta-feira Se ninguém fizer ela feliz, ela se faz Se ocê ama, ela te ama Se ocê trai, ela te trai Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura Ela começa, ela termina Ela não transa, ela ensina Se não for pra ser o amor da vida, ela nem vai Ela sabe a diferença O que não rola, o que compensa Ela é tensa, ela é intensa até demais Ela é princesa, ela é tranqueira Ela é segunda, sexta-feira Se ninguém fizer ela feliz, ela se faz Se ocê ama, ela te ama Se ocê trai, ela te trai Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura"
Tudo Que Você Quiser,"Oh, oh Oh, oh Tem dias que eu acordo pensando em você Em fração de segundo, vejo o mundo desabar Aí que cai a ficha que eu não vou te ver Será que esse vazio um dia vai me abandonar? Tem gente que tem cheiro de rosa, de avelã Tem o perfume doce de toda manhã Você tem tudo Você tem muito Muito mais que um dia eu sonhei pra mim Tem a pureza de um anjo querubim Eu trocaria tudo pra te ter aqui Eu troco minha paz por um beijo seu Eu troco meu destino pra viver o seu Eu troco minha cama pra dormir na sua Eu troco mil estrelas pra te dar a Lua E tudo que você quiser E se você quiser, te dou meu sobrenome Oh, oh Oh, oh Tem gente que tem cheiro de rosa, de avelã Tem o perfume doce de toda manhã Você tem tudo Você tem muito Muito mais que um dia eu sonhei pra mim Tem a pureza de um anjo querubim Eu trocaria tudo pra te ter aqui Eu troco minha paz por um beijo seu Eu troco meu destino pra viver o seu Eu troco minha cama pra dormir na sua Eu troco mil estrelas pra te dar a Lua E tudo que você quiser E se você quiser, te dou meu sobrenome Eu troco minha paz por um beijo seu Eu troco meu destino pra viver o seu Eu troco minha cama pra dormir na sua Eu troco mil estrelas pra te dar a Lua E tudo que você quiser E se você quiser, te dou meu sobrenome Oh, oh Oh, oh"
Chuva de Arroz,"Não mudei de cidade, nem de telefone Só escolhi ser feliz É o mesmo endereço, o mesmo apartamento Em frente à igreja matriz Por isso todo mundo passa E quem nunca passou, vai passar Já tô dizendo aos meus amigos Calma que eu não vou pirar Já pirei! Me apaixonei, perdidamente E o que eu sei, é que daqui pra frente Vai ser nossa cidade, nosso telefone Nosso endereço, nosso apartamento Sabe aquela igreja? Tô aqui na frente, imaginando chuva de arroz na gente! Não mudei de cidade, nem de telefone Só escolhi ser feliz É o mesmo endereço, o mesmo apartamento Em frente a igreja matriz Por isso todo mundo passa E quem nunca passou, vai passar Já tô dizendo aos meus amigos Calma que eu não vou pirar Já pirei! Me apaixonei, perdidamente E o que eu sei, é que daqui pra frente Vai ser nossa cidade, nosso telefone Nosso endereço, nosso apartamento Sabe aquela igreja? Tô aqui na frente, imaginando chuvas Vai ser nossa cidade, nosso telefone Nosso endereço, nosso apartamento Sabe aquela igreja? Tô aqui na frente, imaginando chuva de arroz na gente!"
